Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Marion,Meyer Oil Co.,241001909,10,1740054.76,1608607.76,131447,586425,454920.38,131504.62,46026.8,39258.16,6768.64
Lemont,"LENNY'S GAS N WASH ARCHER, LLC",241001293,6,2608908.1,2397914.78,210993.32,857746,646752.68,210993.32,73847.71,62987.75,10859.96
Crawford County,DDA Oil Inc.,241001221,6,383500.2,347242.96,36257.24,126178,89920.76,36257.24,12690.27,10824.04,1866.23
Lockport,"LENNY'S GAS N WASH 143RD STREET, LLC",241001082,6,2425381.06,2250296.92,175084.14,786042,610957.86,175084.14,61279.47,52267.77,9011.7
Princeton,Beck Oil Company of Illinois,241000724,6,10642473.97,9703617.66,938856.31,3632988,2694131.59,938856.41,323824.1,276202.91,47621.19
Markham,"159TH AND CRAWFORD BUSINESS, INC.",241000333,6,8355001.48,7617046.94,737954.54,3317498,2579443.42,738054.58,254782.42,217314.44,37467.98
Oglesby,AJS Group Investment Inc.,241000136,6,356102.52,336665.58,19436.94,125974,106537.65,19436.35,6802.71,5802.32,1000.39
Crystal Lake,52 Brink Street LLC,240703104,3,534805.68,476645.83,58159.85,207330,149170.15,58159.85,19872.64,16950.2,2922.44
Worth,AR OIL INC.,240702642,6,1439675.8,1296970.32,142705.48,476698,333992.52,142705.48,48519.98,41384.69,7135.29
Belvidere,Coachs Belvidere LLC,240702551,5,642787.59,576022.93,66764.66,227361,160596.34,66764.66,23367.69,19931.27,3436.42
Troy,COMPASS CREW LLC,240702445,6,19582.12,15734.29,3847.83,7966,4118.09,3847.91,1346.78,1148.72,198.06
Champaign,Pour Bros. Co.,240702414,4,35633.6,32889.26,2744.34,15596,12851.66,2744.34,960.5,819.25,141.25
Beecher,Golden Brew 755 LTD.,240702382,5,27533.81,26863.89,669.92,9839,9169.08,669.92,234.49,200.01,34.48
Madison County,SRI SAI SATYA TULASI 2 LLC,240702319,6,9964.28,8792.34,1171.94,3137,1965.06,1171.94,410.17,349.85,60.32
Addison,MC ADDISON CAFE LLC,240702264,6,1726.33,1356.3,370.03,963,592.97,370.03,129.52,110.47,19.05
Gilman,GRAND PRAIRIE HOLDINGS LLC,240702223,6,26066.61,20076.37,5990.24,9987,3996.71,5990.29,2096.61,1788.29,308.32
Momence,"DJJ Entertainment, LLC",240702214,5,1857.79,1686.53,171.26,813,641.74,171.26,59.95,51.13,8.82
Kankakee,Cork On Schuyler Inc,240702179,4,743.46,348.93,394.53,439,44.47,394.53,138.09,117.78,20.31
Berwyn,"THE LAUNDRY WORLD COMPANY OF BERWYN, LLC",240702151,6,439949.64,392813.69,47135.95,164790,117654.05,47135.95,16497.65,14071.53,2426.12
Whiteside County,"Route 30 Bar & Grill, LLC",240702132,6,22971.77,26077.15,-3105.38,8373,11478.38,-3105.38,-1086.87,-927.04,-159.83
Swansea,MAC 280 Inc.,240702090,6,283470.72,257095.54,26375.18,99288,72912.82,26375.18,9231.41,7873.85,1357.56
Peoria,SOLIS-WARREN LLC,240702089,2,67876.02,63069.78,4806.24,29772,24965.76,4806.24,1682.22,1434.84,247.38
Channahon,Camfrej LLC,240702077,6,10057.46,9405.66,651.8,4118,3465.95,652.05,228.22,194.66,33.56
Alsip,"Lucky Location, Inc.",240702043,6,28706.01,25491.61,3214.4,12718,9503.6,3214.4,1125.07,959.62,165.45
Kingston,Cougars LLC,240702016,6,279415.14,255613.9,23801.24,97781,73979.76,23801.24,8330.47,7105.4,1225.07
Herrin,Sanctuary SIL LLC,240702015,6,10727.38,10100.11,627.27,4253,3625.73,627.27,219.56,187.27,32.29
Staunton,PATRIOT LOUNGE LLC,240701956,6,387828.6,358952.98,28875.62,137651,108775.38,28875.62,10106.49,8620.24,1486.25
Joliet,"AZUL CELESTE BAR & GRILL, INC.",240701955,6,104190.28,92773.23,11417.05,44821,33403.95,11417.05,3981.43,3395.93,585.5
Fulton,CHEERS CORNER INC.,240701952,6,39104.1,32228.47,6875.63,13379,6503.37,6875.63,2406.48,2052.59,353.89
Farmington,ACME Saloon LLC,240701936,5,8883.15,7388.09,1495.06,3623,2127.94,1495.06,523.28,446.33,76.95
Hoffman Estates,I Smell Bacon BBQ LLC,240701890,6,164742.72,154179.49,10563.23,61698,51134.59,10563.41,3697.23,3153.52,543.71
Lyons,"JACKIE'S CAFE, LLC",240701877,6,205532.14,185678.28,19853.86,77637,57783.14,19853.86,6948.94,5927.04,1021.9
Joy,THE BOONE DOCKS INCORPORATED,240701865,4,154237.02,141607.17,12629.85,49977,37347.14,12629.86,4420.47,3770.4,650.07
Lacon,RITA'S KITCHEN & BAR LLC,240701860,3,19604.57,17115.43,2489.14,7835,5345.86,2489.14,871.17,743.06,128.11
Mount Prospect,"Salerno's Mount Prospect, Inc.",240701848,5,12107.51,10614.41,1493.1,5468,3974.7,1493.3,522.68,445.82,76.86
Glendale Heights,JJ PIAS12 GAMING INC.,240701828,6,43043.13,39080.18,3962.95,17976,14013.05,3962.95,1387.02,1183.05,203.97
Mokena,J'S PHILLY'S LLC,240701824,4,1999.96,1511.96,488,868,380,488,170.79,145.67,25.12
Braidwood,"BRAIDKOT, LTD.",240701819,6,107394.33,89944.54,17449.79,37652,20202.21,17449.79,6107.5,5209.34,898.16
Westville,"Lucky League, LLC",240701813,6,374369.17,341077.77,33291.4,142340,109048.55,33291.45,11652.08,9938.53,1713.55
Cicero,Mireles Entertainment LLC,240701812,6,772978.32,706609.42,66368.9,294220,227851.1,66368.9,23229.29,19813.21,3416.08
Belleville,"Charlie's Off Main, LLC",240701801,6,61932.72,59413.55,2519.17,18912,16392.3,2519.7,881.93,752.23,129.7
Danville,"Cardinal Restaurant Group - Debbies Danville 2, LLC",240701800,6,840958.01,776711.52,64246.49,333570,269323.51,64246.49,22486.4,19179.58,3306.82
Granite City,KD Bar & Grill LLC,240701799,6,115823.32,105862.35,9960.97,41222,31261.03,9960.97,3486.45,2973.73,512.72
Walnut Hill,Simpson of the Shack LLC,240701798,6,242397.95,222969.58,19428.37,85187,65758.63,19428.37,6799.95,5799.96,999.99
White Hall,"Tilly's Tavern & Timeless Treasures, Inc.",240701776,6,78791.41,73555.18,5236.23,28844,23607.77,5236.23,1832.71,1563.2,269.51
Vandalia,MURRAY'S RESTAURANT LLC,240701773,5,47771.37,40293.97,7477.4,20844,13366.6,7477.4,2617.19,2232.31,384.88
Chapin,Robert & Amanda Woelfel,240701769,4,28590.32,24159.7,4430.62,8863,4432.38,4430.62,1550.71,1322.66,228.05
Addison,"Hammerhead Entertainment, Inc.",240701744,6,340558.73,303512.46,37046.27,133243,96196.73,37046.27,12966.24,11059.44,1906.8
Lemont,Ace&Vine Inc.,240701743,6,6591.02,4695.71,1895.31,2872,976.69,1895.31,663.38,565.82,97.56
Chatham,WING MADNESS LLC,240701742,6,887870.57,800971.98,86898.59,295051,208152.41,86898.59,30414.52,25941.79,4472.73
Waukegan,Lucky Scottie Inc.,240701730,6,193737.71,174413.86,19323.85,86936,67612.15,19323.85,6763.37,5768.76,994.61
Winnebago County,THE VAULT GAMING LOUNGE AND BAR LLC,240701729,6,67193.26,58058.53,9134.73,24290,15155.18,9134.82,3197.18,2727.01,470.17
Diamond,Kickn 66 Liquor & More Corporation,240701716,6,2541.4,2610.88,-69.48,967,1036.48,-69.48,-24.32,-20.74,-3.58
Westville,City Liquor Inc.,240701701,6,12523.67,11960.1,563.57,3753,3189.43,563.57,197.27,168.26,29.01
Prophetstown,"BUSHY'S BAR & GRILL, INC.",240701698,6,30656.86,25759.63,4897.23,11755,6857.77,4897.23,1714.01,1461.95,252.06
Vandalia,"Guru Krupa, III, Inc.",240701686,6,106188.82,96316.79,9872.03,38368,28495.97,9872.03,3455.29,2947.16,508.13
Arcola,"Arcola Country Store & Gas, Inc.",240701658,6,42280.33,37376.83,4903.5,19136,14232.5,4903.5,1716.24,1463.85,252.39
Minooka,MINIANCH INC.,240701645,6,45587.83,41435.16,4152.67,17948,13795.33,4152.67,1453.41,1239.67,213.74
Plainfield,"DOW HOLDINGS, INC",240701644,6,49080.76,43984.6,5096.16,23586,18489.34,5096.66,1783.83,1521.5,262.33
