Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Abingdon,ABBE LANES BOWLING & ENTERTAINMENT LLC,180702343,5,170851.49,159641.28,11210.21,60999,49788.99,11210.01,3923.55,3346.57,576.98
Abingdon,"JP FOOD & LIQUOR , INC.",220701041,6,1903397.41,1723295.62,180101.79,552570,372468.21,180101.79,63035.68,53765.73,9269.95
Abingdon,MA & PA LIQUOR'S INC.,200702153,6,1781260.62,1625886.56,155374.06,518642,363267.94,155374.06,54381.03,46383.83,7997.2
Abingdon,"Skeeter's Place, Inc.",120704053,5,509492.2,458675.74,50816.46,193333,142514.24,50818.76,17786.84,15171.13,2615.71
Abingdon,"T AND G 104, LLC",230702126,5,361533.15,328895.31,32637.84,124321,91683.16,32637.84,11423.25,9743.36,1679.89
Abingdon,"The Harry E Wiles Post No. 381, The American Legion",120903651,6,692175.98,619093.6,73082.38,246324,173241.62,73082.38,25578.96,21817.36,3761.6
Abingdon,"VICTORY TAVERN, INC.",120704046,6,780703.84,701049.23,79654.61,294379,214724.39,79654.61,27879.21,23779.33,4099.88
Adams County,4LEAF LOUNGE & GAMING LLC,190703535,6,1742488.09,1567426.34,175061.75,538178,363116.25,175061.75,61271.89,52261.32,9010.57
Adams County,"BLUEHAVEN ENTERPRISES, LLC ",170702474,3,107855.36,99176.02,8679.34,43629,34949.66,8679.34,3037.9,2591.14,446.76
Adams County,CLOVERS LOUNGE & GAMING LLC,240702469,6,1949045.24,1769737.78,179307.46,692726,513353.37,179372.63,62780.51,53548.09,9232.42
Adams County,"DOWN ON THE CORNER, LTD.",130704834,6,471277.71,423342.87,47934.84,168955,121020.5,47934.5,16777.31,14310.07,2467.24
Adams County,GRM SILVER DOLLAR LLC,210703126,6,603966.76,527563.77,76402.99,227833,151430.01,76402.99,26741.24,22808.71,3932.53
Adams County,"GRM WILCO, LLC",240701775,6,1042716.07,932451.03,110265.04,363466,253200.96,110265.04,38592.79,32917.38,5675.41
Adams County,"GROVE INN, INC",120707190,6,1005444.32,910067.32,95377,329296,233919,95377,33382.08,28472.94,4909.14
Adams County,"JAY & NANCY'S TAVERN, INC.",120700767,6,1843413.48,1658341.32,185072.16,602731,417658.84,185072.16,64775.38,55249.59,9525.79
Adams County,"JEC Entertainment, LLC",180702588,6,159861.42,144715.04,15146.38,62843,47696.62,15146.38,5301.32,4521.73,779.59
Adams County,Quincy Cedar Crest Country Club,150700113,6,443772.27,385784.81,57987.46,136381,78393.46,57987.54,20295.78,17311.11,2984.67
Adams County,"QUINCY LAND DEVELOPERS, L.L.C.",190704012,6,2746800.63,2502886.74,243913.89,779568,535654.11,243913.89,85370.06,72815.66,12554.4
Adams County,Red Dog Saloon 3 LLC,230700309,3,117743.82,111121.57,6622.25,66473,59850.76,6622.24,2317.84,1976.98,340.86
Adams County,Rocky Point Club,240702286,3,191350.72,168110.45,23240.27,58358,35117.69,23240.31,8134.18,6937.98,1196.2
Adams County,SPRING LAKE ASSOCIATION,140703974,2,12353.05,10891.25,1461.8,4004,2542.16,1461.84,511.63,436.39,75.24
Adams County,TWIN OAKS CLUB,130705620,4,741461.19,666209.21,75251.98,219764,144512.02,75251.98,26338.36,22465.08,3873.28
Addieville,"Frederking's Eagles Nest, Inc.",150704220,6,621537.69,554089.22,67448.47,257510,190061.88,67448.12,23607.13,20135.49,3471.64
Addison,"Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.",120905892,6,582282.37,547209.21,35073.16,202237,167164.22,35072.78,12275.61,10470.38,1805.23
Addison,"Blackhawk Restaurant Group, LLC Series AGMAddison",130705201,6,4682459.95,4248657.75,433802.2,1632665,1198862.8,433802.2,151831.05,129502.95,22328.1
Addison,"Caputo's New Farm Produce-Addison, Inc.",210703361,6,2055561.81,1859129.38,196432.43,722874,526441.19,196432.81,68751.48,58640.97,10110.51
Addison,"CRANE INVESTMENT HOLDINGS II, LLC",140704084,4,468992.55,431000.71,37991.84,197964,159972.16,37991.84,13297.28,11341.8,1955.48
Addison,"DUNKLEY'S, LLC",180700131,6,2241084.79,2030056.47,211028.32,801230,590201.68,211028.32,73860.17,62998.38,10861.79
Addison,"El Paisano Food & Liquors, Inc.",140701330,6,2339344.82,2143334.41,196010.41,844853,648842.59,196010.41,68603.75,58514.97,10088.78
Addison,"HAMMERHEAD ENTERTAINMENT, INC.",120712603,6,2028024.51,1833876.05,194148.46,770593,576444.54,194148.46,67951.98,57959.04,9992.94
Addison,"Hammerhead Entertainment, Inc.",240701744,6,1190091.6,1072503.07,117588.53,463690,346101.47,117588.53,41156.16,35103.79,6052.37
Addison,"Icon Entertainment, LLC",120712413,6,3646668.88,3316004.38,330664.5,1186929,856264.5,330664.5,115732.78,98713.26,17019.52
Addison,ILIOS 22 INC.,220701594,6,682085.63,613773.42,68312.21,282028,213715.79,68312.21,23909.42,20393.32,3516.1
Addison,J & G Corporation,120712348,6,4787800.77,4339608.62,448192.15,1729887,1281694.85,448192.15,156867.33,133798.6,23068.73
Addison,"JB Addison, LLC",220700285,5,405707.52,367432.53,38274.99,159310,121035.01,38274.99,13396.35,11426.3,1970.05
Addison,"KAGG LOUNGE, LLC",120712353,6,3720381.6,3356975.12,363406.48,1397659,1034252.52,363406.48,127192.47,108487.69,18704.78
Addison,Krage's Inc.,220702783,6,2987623.53,2639105.69,348517.84,1106034.8,757502.71,348532.09,121986.4,104047.22,17939.18
Addison,"La Bella Bistro, Inc.",120712422,6,4192608.78,3895258.19,297350.59,1253101,955529.94,297571.06,104150.01,88833.84,15316.17
Addison,Lacey's Place LLC Series Addison,160700946,6,5795630.86,5202422.82,593208.04,2199756,1606547.96,593208.04,207622.93,177090.14,30532.79
Addison,Lacey's Place LLC Series Addison 2,160704096,6,4468869.33,4046764.16,422105.17,1599577,1177471.83,422105.17,147737.05,126011.01,21726.04
Addison,"Lake St. And Medinah Rd., Inc.",140700227,6,5047385.88,4632779.46,414606.42,1742978,1328371.58,414606.42,145112.31,123772.26,21340.05
Addison,"LAURA BIZAURA, LLC - SERIES 3 - LAKE STREET",220702232,6,4213080.93,3841127.31,371953.62,1473000,1101046.38,371953.62,130183.75,111039.08,19144.67
Addison,LUCKY ROCKS LLC,230702644,6,774646.52,702357.26,72289.26,291748,219458.71,72289.29,25301.31,21580.53,3720.78
Addison,MC ADDISON CAFE LLC,240702264,6,2015632.27,1835061.37,180570.9,744206,563634.75,180571.25,63200.04,53905.92,9294.12
Addison,"Millie's Pancake Shoppe II, INC.",210702977,6,1499188.69,1371947.5,127241.19,500566,373324.81,127241.19,44534.37,37985.21,6549.16
Addison,RSB TAVERN INC.,210703187,6,2523605.92,2259968.77,263637.15,914762,651124.85,263637.15,92273.16,78703.59,13569.57
Addison,"SHOELESS JOE'S ALE HOUSE AND GRILLE, LLC",160702750,6,2499955.58,2279277.15,220678.43,904152,683473.57,220678.43,77237.68,65879.2,11358.48
Addison,Slottys LLC,240703111,6,309625.06,278119.85,31505.21,124520,93014.59,31505.41,11026.99,9405.38,1621.61
Addison,SOFEL DM L.L.C.,230700087,5,275226.59,248919.19,26307.4,92952,66645.2,26306.8,9207.51,7853.47,1354.04
Addison,Taqueria El Mirador Inc.,240700461,5,471343.16,434699.02,36644.14,162194,125491.25,36702.75,12846.11,10956.97,1889.14
Addison,"TAQUERIA LOS TRES POTRILLOS, INC.",190701738,3,103822.34,95922.69,7899.65,41279,33379.35,7899.65,2764.97,2358.35,406.62
